"id";"answer";"expertid"
"1";"YA";"1"
"2";"NO";"1"
"3";"YA";"6"
"4";"TIDAK";"6"
"5";"TERIMA";"6"
"6";"TOLAK";"6"
"7";"TYA";"7"
"8";"TIDAK";"7"
"9";"TOLAK";"7"
"10";"TERIMA";"7"
"11";"YA";"8"
"12";"TIDAK";"8"
"13";"TOLAK";"8"
"14";"TERIMA";"8"
"15";"YA";"9"
"16";"TIDAK";"9"
"17";"YA";"10"
"18";"TIDAK";"10"
"19";"YA";"11"
"20";"TIDAK";"11"
"21";"YA";"12"
"22";"TIDAK";"12"
"23";"YA";"13"
"24";"TIDAK";"13"
"25";"YA";"16"
"26";"TIDAK";"16"
"27";"YA";"17"
"28";"NO";"17"
"29";"YA";"18"
"30";"TIDAK";"18"
"31";"YA";"2"
"32";"NO";"2"
"id";"name";"description"
"1";"beasiswa";"uts "
"2";"Smartphone";"diagnosa kerusakan pada Smartphone"
"6";"TESTING 1";"TESTING 1"
"7";"TESTING 3";"TESTING 3"
"8";"TESTING 4";"TESTING 4"
"9";"TESTING 5";"TESTING 5"
"10";"TESTING 6";"TESTING 6"
"11";"TESTING 7";"TESTING 7"
"12";"TESTING 8";"TESTING 8"
"13";"TESTING 9";"TESTING 9"
"14";"TESTING 10";"TESTING 10"
"15";"TESTING 11";"TESTING 11"
"16";"TETING 12";"TESTING 12"
"17";"TESTING 13";"TESTING 13"
"18";"ExpertDoc";"PAKAR ANAK"
"id";"question";"expertid";"name";"cf"
"1";"lulus test math ?";NULL;NULL;"1"
"2";"lulus test b.ing ?";NULL;NULL;"1"
"5";"tidak memiliki mobil pribadi ?";NULL;NULL;"1"
"7";"pemakaian daya listrik di rekening <= 2200VA";NULL;NULL;"1"
"8";"uang gaji perbulan <= 1jt, dari ortu ?";NULL;NULL;"1"
"9";"ayah/ibu memiliki nama marga asli putra daerah ?";NULL;NULL;"1"
"10";"Akademik";NULL;"Akademik";"1"
"11";"Finansial";NULL;"Finansial";"1"
"12";"Putra daerah";NULL;"Putra daerah";"1"
"13";"Terdapat garis pada layar ?";NULL;NULL;"1"
"14";"Layar pecah ? ";NULL;NULL;"1"
"15";"Layar buram ? ";NULL;NULL;"1"
"16";"White screen ? ";NULL;NULL;"1"
"17";"Baterai drop ?";NULL;NULL;"1"
"18";"Smartphone panas ?";NULL;NULL;"1"
"19";"blank screen ? ";NULL;NULL;"1"
"20";"Tidak dapat memproses Aplikasi ?";NULL;NULL;"1"
"21";"Smartphone reboot tiba-tiba ?";NULL;NULL;"1"
"22";"Tidak berhenti mengisi daya ?";NULL;NULL;"1"
"23";"Baterai cepat panas ?";NULL;NULL;"1"
"24";"Baterai menggelembung ? ";NULL;NULL;"1"
"25";"Tidak berhenti mengisi daya ?";NULL;NULL;"1"
"26";"AKADEMIK TERPENUHI ?";"6";"AKADEMIK";"1"
"27";"AKADEMIK TERPENUHI ?";"7";"AKADEMIK";"1"
"28";"FINANSIAL TERPENUHI ?";"7";"FINANSIAL ";"1"
"29";"AKADEMIK TERPENUHI ?";"8";"AKADEMIK";"1"
"30";"FINANSIAL TERPENUHI ?";"8";"FINANSIAL";"1"
"31";"AKADEMIK TERPENUHI ?";"9";"AKADEMIK";"1"
"32";"FIANSIAL TERPENUHI ?";"9";"FINANSIAL";"1"
"33";"AKADEMIK TERPENUHI ?";"10";"AKADEMIK";"1"
"34";"FINANSIAL TERPENUHI ?";"10";"FINANSIAL ";"1"
"35";"AKADEMIK TERPENUHI";"11";"AKADEMIK";"1"
"36";"AKADEMIK TERPENUHI ?";"12";"AKADEMIK";"1"
"37";"AKADEMIK TERPENUHI ?";"13";"AKADEMIK ";"1"
"38";"AKADEMIK TERPENUHI ?";"16";"AKADEMIK";"1"
"39";"FINANSIAL TERPENUHI ?";"16";"FINANSIAL";"1"
"40";"PUTRA DAERAH TERPENUHI ?";"16";"PUTRA DAERAH";"1"
"41";"RACUN ADA ?";"17";"RACUN";"1"
"42";"ROTI BERJAMUR ? ";"17";"BERJAMUR ";"1"
"43";"ROTI BAU ? ";"17";"BAU";"1"
"44";"Akademik Terpenuhi ?";"18";"Akademik";"1"
"45";"Finansial terpenuhi ?";"18";"Finansial";"1"
"id";"premise_id";"answer_id"
"1";"10";"1"
"2";"10";"2"
"3";"9";"1"
"4";"9";"2"
"5";"11";"1"
"6";"11";"2"
"7";"2";"1"
"8";"2";"2"
"9";"1";"1"
"10";"1";"2"
"11";"7";"1"
"12";"7";"2"
"13";"5";"1"
"14";"5";"2"
"15";"12";"1"
"16";"12";"2"
"17";"8";"1"
"18";"8";"2"
"19";"13";"31"
"20";"13";"32"
"23";"14";"31"
"24";"14";"32"
"25";"15";"31"
"26";"15";"32"
"27";"16";"31"
"28";"16";"32"
"29";"17";"31"
"30";"17";"32"
"31";"18";"31"
"32";"18";"32"
"33";"19";"31"
"34";"19";"32"
"35";"20";"31"
"36";"20";"32"
"37";"21";"31"
"38";"21";"32"
"39";"22";"31"
"40";"22";"32"
"41";"23";"31"
"42";"23";"32"
"43";"24";"31"
"44";"24";"32"
"45";"25";"31"
"46";"25";"32"
"47";"27";"7"
"48";"27";"8"
"49";"28";"8"
"50";"28";"7"
"51";"29";"11"
"52";"29";"12"
"53";"30";"12"
"54";"30";"11"
"55";"31";"15"
"56";"31";"16"
"57";"32";"16"
"58";"32";"15"
"59";"33";"17"
"60";"33";"18"
"61";"34";"18"
"62";"34";"17"
"63";"35";"19"
"64";"35";"20"
"65";"36";"21"
"66";"36";"22"
"67";"37";"23"
"68";"37";"24"
"69";"38";"25"
"70";"38";"26"
"71";"39";"25"
"72";"39";"26"
"73";"40";"25"
"74";"40";"26"
"75";"41";"27"
"76";"41";"28"
"77";"42";"27"
"78";"42";"28"
"79";"43";"27"
"80";"43";"28"
"81";"44";"29"
"82";"44";"30"
"83";"45";"29"
"84";"45";"30"
"id";"premise_id";"rule_id"
"1";"10";"7"
"2";"10";"8"
"3";"10";"9"
"4";"11";"10"
"5";"11";"11"
"6";"11";"12"
"7";"12";"14"
"8";"12";"15"
"9";"11";"13"
"id";"conclusion";"conclusion_value";"expert_id";"hierarchy";"cf"
"1";"Terima";"1";"1";"1";"1"
"2";"Tolak";"1";"1";"1";"1"
"3";"Tolak";"1";"1";"1";"1"
"4";"Tolak";"1";"1";"1";"1"
"7";"Akademik";"1";"1";"2";"1"
"8";"Akademik";"2";"1";"2";"1"
"9";"Akademik";"2";"1";"2";"1"
"10";"Finansial";"1";"1";"2";"1"
"11";"Finansial";"2";"1";"2";"1"
"12";"Finansial";"2";"1";"2";"1"
"13";"Finansial";"2";"1";"2";"1"
"14";"Putra daerah";"1";"1";"2";"1"
"15";"Putra daerah";"2";"1";"2";"1"
"16";"LCD";"31";"2";"1";"1"
"17";"IC, PowerSupply";"31";"2";"1";"1"
"18";"Software";"31";"2";"1";"1"
"19";"Baterai";"31";"2";"1";"1"
"20";"BEASISWA";"17";"10";"1";"1"
"21";"BEASISWA";"19";"11";"1";"1"
"22";"BEASISWA";"21";"12";"1";"1"
"23";"BEASISWA";"23";"13";"1";"1"
"24";"BEASISWA";"25";"16";"1";"1"
"25";"BEASISWA";"26";"16";"1";"1"
"26";"BEASISWA";"26";"16";"1";"1"
"27";"MAKAN";"28";"17";"1";"1"
"28";"MAKAN";"27";"17";"1";"1"
"29";"MAKAN";"28";"17";"1";"1"
"30";"MAKAN";"28";"17";"1";"1"
"31";"Finansial";"29";"18";"1";"1"
"id";"rule_id";"premise_id";"premise_val"
"19";"1";"10";"1"
"20";"1";"11";"1"
"21";"1";"12";"1"
"22";"2";"10";"2"
"40";"7";"2";"1"
"41";"7";"1";"1"
"42";"8";"2";"1"
"43";"8";"1";"2"
"44";"9";"2";"2"
"45";"10";"5";"1"
"46";"10";"8";"1"
"47";"10";"7";"1"
"48";"11";"5";"1"
"49";"11";"8";"2"
"50";"12";"5";"1"
"51";"12";"8";"1"
"52";"12";"7";"2"
"53";"13";"5";"2"
"54";"14";"9";"1"
"55";"15";"9";"2"
"56";"3";"10";"1"
"57";"3";"11";"2"
"58";"4";"10";"1"
"59";"4";"11";"1"
"60";"4";"12";"2"
"61";"16";"13";"31"
"62";"16";"14";"31"
"63";"16";"15";"31"
"64";"16";"16";"31"
"65";"17";"17";"31"
"66";"17";"18";"31"
"67";"17";"19";"31"
"68";"17";"16";"31"
"69";"18";"20";"31"
"70";"18";"19";"31"
"71";"18";"21";"31"
"72";"18";"22";"31"
"73";"19";"17";"31"
"74";"19";"23";"31"
"75";"19";"24";"31"
"76";"19";"25";"31"
"77";"23";"37";"23"
"78";"24";"38";"25"
"79";"24";"39";"25"
"80";"24";"40";"25"
"81";"25";"38";"25"
"82";"25";"39";"26"
"83";"26";"38";"26"
"84";"27";"41";"27"
"85";"27";"42";"27"
"86";"27";"43";"27"
"87";"28";"41";"28"
"88";"28";"42";"28"
"89";"28";"43";"28"
"90";"29";"41";"27"
"91";"29";"42";"27"
"92";"29";"43";"28"
"93";"30";"41";"27"
"94";"30";"42";"28"
"95";"31";"44";"29"
"96";"31";"45";"29"
